rank,feature
1,panela_igf_ii
2,panela_mif
3,panela_ca_125
4,panelb_ca125
5,panelb_ca72_4
6,panelb_klk6
7,panelb_he4
8,panelc_ca125
9,panelc_he4
10,panelc_mesothelin
11,panelc_mmp7
12,panelc_spondin2
13,panelc_slpi
14,panele_eotaxin
15,panele_mmp_3
16,panele_ca72_4
